category,title,ticketed,venue,blurb,link,socials,contributors,adw_presented,thu 8 oct,tue 13 oct,wed 14 oct,thu 15 oct,fri 16 oct,sat 17 oct,sun 18 oct
CONV,CO-DESIGNING YITPI YARTAPUULTIKU,yes,"Allan Scott Auditorium H2-16, Fenn Place, Adelaide University, ADL CBD","YITPI YARTAPUULTIKU - Soul of Port Adelaide: The Story Behind an Award-Winning Place

Discover the remarkable story behind YITPI YARTAPUULTIKU - Soul of Port Adelaide, a multi-award-winning public realm project that has transformed the heart of Port Adelaide. Join Architect Ashley Halliday and Landscape Architect Warwick Keates as they take the audience behind the scenes of the project's conception, design development, and delivery.

This engaging presentation explores how architecture, landscape architecture, planning, culture, history, and community aspirations were woven together to create a place of lasting significance. Through insights into the co-design process, working with cultural knowledge, key challenges, and moments of innovation, Ashley and Warwick reveal the thinking that shaped a project now recognised for its design excellence and contribution to public life.

Whether you are a design professional, student, or community member, this presentation offers a unique opportunity to understand how thoughtful, place-based design can celebrate identity, strengthen connection, and leave a lasting legacy for future generations.

A free event, bookings essential. Presented by the School of Architecture and Built Environment, Adelaide University.",,,Ashley Halliday (Ashley Halliday Architects); Warwick Keates (WAX Design),,,,4pm - 5:30pm,,,,
CONV,ÉMIGRÉ : SPEAKER SERIES,yes,"Mid-Century House, Lynton","Émigré brings together art, design and architecture for one afternoon at Lynton Residence, a 1962 mid-century home by émigré architect Hubert van der Pennen. Two curated sessions ask who shapes a city, and from where: first through overlooked urban space, then through the practitioners who arrived from elsewhere.",https://events.humanitix.com/emigre-speaker-series-at-lynton-residence,,Stuart Symons; Jet O'Rourke; Chloe Tanner; Richard Le Messurier; Tom Borgas; Julia Townsend and more.,,,,,,,,2pm - 5.30pm
CONV,"In Conversation: Insights, Process and Material Integrity in Lighting Design",yes,"The Light Impact, Norwood","Bringing together leading lighting studios for an open panel discussion on what shapes their studio practice, processes and the role of material in the finished product. For designers, architects and public interested in product design practices, the event offers an opportunity to gain insight into the thinking that shapes each studio's identity.",https://events.humanitix.com/adw-thelightimpact,,Participating studios: Nightworks Studio; Objects for Thought and Transmitt; hosted by The Light Impact,,,,,6:30pm,,,
CONV,JAM FACTORY x GUY KEULEMANS,yes,"Jam Factory, ADL CBD","South Australian designer, artist and researcher Guy Keulemans provides insight into his current JamFactory exhibition 'X Guy Keulemans'",https://events.humanitix.com/wednesday-talks-guy-keulemans,,Guy Keulemans,,,,12.15pm - 1pm,,,,
CONV,JON GOULDER x AGSA,yes,"AGSA, ADL CBD","Join Rebecca Evans, Curator of Decorative Arts and Design for a special Adelaide Design Week Tuesday Talk with South Australian craftsperson and designer, Jon Goulder. Jon Goulder is a fourth-generation furniture designer and maker. Goulder completed his apprenticeship in furniture making and upholstery with his family’s business E W Goulder and Sons, between 1988-1992. In 1996 he moved to Canberra to study furniture design and fine woodworking at Canberra School of Art under the direction of the late George Ingham. After leaving Canberra School of Art he established his design consultancy – ’Jon Goulder Designer Maker’. Goulder is both a designer and a talented furniture maker- a rarity in the Australian and international design community. Between 2013-2018 he was Creative Director (Furniture) Jam Factory Adelaide, he was previously a Senior Designer with Snohetta Architects Australasia. He currently runs his own studio space in the southern suburbs of Adelaide.",https://www.agsa.sa.gov.au/whats-on/event-calendar/,,Jon Goulder; Rebecca Evans,,,12.30pm - 1.30pm,,,,,
CONV,MADE HERE,,"Stylecraft, ADL CBD","Presented by Stylecraft, Made Here celebrates new local furniture design through an open studio showcase. Guest designer Helen Kontouris joins us in conversation about practice, craft, and the wider Australian design industry.",,,Helen Kontouris,,,,12pm - 2pm,8am - 10am,,,
CONV,METIS (Navigating Systems Change),yes,"WIP Shed, 28A Dew St, Thebarton","The systems we inherited are breaking. A crisis? or an Opening? > > > METIS a talk//reflection on systems change: what's collapsing, what’s emerging at the margins, and how to locate your role inside inside the shift. We’re designing a new world. Feel the pull? Let’s navigate together.",https://btsactivist.com/metis,,Adelaide Xerri,,,,,,,4pm - 5pm,
CONV,MONET TO MATISSE : ART TO EXHIBITION,yes,"GGA Studio, ADL CBD","Go behind the scenes of Monet to Matisse: Defying Tradition with AGSA's curatorial team and exhibition designers Grieve Gillett Architects. Discover how art, architecture, colour and curatorial thinking came together to shape the exhibition, from the placement of individual works to the design of the complete visitor experience.",https://events.humanitix.com/art-of-exhibition-behind-the-scenes-of-monet-to-matisse-or-adelaide-design-week-2026,,GGA exhibition design team + AGSA curatorial team,,,,,6pm - 7:30pm,,,
CONV,PROCESSED / Panel talk,,"Immersive Art and Installation, 63 Light Sq, CBD, ADL",,,,,,,,,,,,11am
CONV,THE AUSTRALIAN (DESIGN) DREAM,,"Jardan, ADL CBD",,,,Kim Bridgland (Studio All Days); Alana Hanton (design by WBL); Kate Bowen (Fabrikate); Max Cairns (Jardan); Moderated by Bronwyn Marshall,,,,,,4pm - 7pm,,
